id,pergunta,categoria,sql_gabarito,resposta_esperada,hipotese,observacao
P001,Quantos pedidos existem na base?,lookup,SELECT COUNT(*) FROM orders;,99441,H1,Controle: baseline simples
P002,Quantos clientes únicos existem na base (customer_unique_id)?,lookup,SELECT COUNT(DISTINCT customer_unique_id) FROM customers;,96096,H1,Diferenciar customer_id de customer_unique_id
P003,Quantos vendedores estão cadastrados na base?,lookup,SELECT COUNT(*) FROM sellers;,3095,H1,Validar no banco
P004,Quantos produtos diferentes existem no catálogo?,lookup,SELECT COUNT(*) FROM products;,32951,H1,Validar no banco
P005,Quantos tipos diferentes de pagamento aparecem em order_payments?,lookup,SELECT COUNT(DISTINCT payment_type) FROM order_payments;,5,H1,Inclui 'not_defined' (anomalia com 3 ocorrências)
P006,Quantos pedidos têm status 'delivered'?,lookup,SELECT COUNT(*) FROM orders WHERE order_status = 'delivered';,96478,H1,Conhecido da EDA
P007,Em quantos estados brasileiros há clientes cadastrados?,lookup,SELECT COUNT(DISTINCT customer_state) FROM customers;,27,H1,Todos os UFs + DF
P008,Qual a menor e a maior nota possível em order_reviews (review_score)?,lookup,"SELECT MIN(review_score), MAX(review_score) FROM order_reviews;",1 e 5,H1,Range conhecido
P009,Qual o faturamento total (soma de price em order_items) considerando apenas pedidos com status 'delivered'?,agregacao,SELECT SUM(oi.price) FROM order_items oi JOIN orders o ON oi.order_id = o.order_id WHERE o.order_status = 'delivered';,"R$ 13.221.498,11",H1,Pergunta de alto valor para H1
P010,Qual o preço médio dos itens em pedidos 'delivered'?,agregacao,SELECT AVG(oi.price) FROM order_items oi JOIN orders o ON oi.order_id = o.order_id WHERE o.order_status = 'delivered';,"R$ 119,98",H1,Conhecido aprox da EDA
P011,Qual a mediana do preço de itens em pedidos 'delivered'?,agregacao,SELECT PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY oi.price) FROM order_items oi JOIN orders o ON oi.order_id = o.order_id WHERE o.order_status = 'delivered';,"R$ 74,90",H1,Sintaxe específica do PostgreSQL
P012,Qual a média de parcelas (payment_installments) em pagamentos via cartão de crédito?,agregacao,SELECT AVG(payment_installments) FROM order_payments WHERE payment_type = 'credit_card';,"3,51",H1,Conhecido aprox da EDA
P013,Quantos pagamentos foram feitos via boleto?,agregacao,SELECT COUNT(*) FROM order_payments WHERE payment_type = 'boleto';,19784,H1,Conhecido da EDA
P014,"Qual o valor total movimentado em pagamentos via voucher (soma de payment_value, tipo=voucher)?",agregacao,SELECT SUM(payment_value) FROM order_payments WHERE payment_type = 'voucher';,"R$ 379.436,87",H1,
P015,Quantos clientes existem no estado de São Paulo?,agregacao,SELECT COUNT(*) FROM customers WHERE customer_state = 'SP';,41746,H1,Conhecido da EDA
P016,Quantos vendedores estão no estado de São Paulo?,agregacao,SELECT COUNT(*) FROM sellers WHERE seller_state = 'SP';,1849,H1,Conhecido da EDA
P017,Qual o frete médio (freight_value) cobrado em pedidos 'delivered'?,agregacao,SELECT AVG(oi.freight_value) FROM order_items oi JOIN orders o ON oi.order_id = o.order_id WHERE o.order_status = 'delivered';,"R$ 19,95",H1,
P018,Qual a nota média (review_score) considerando todas as avaliações da base?,agregacao,SELECT AVG(review_score) FROM order_reviews;,"4,09",H1,Distribuição em U conhecida
P019,Quantos itens (linhas em order_items) existem em pedidos com status 'delivered'?,agregacao,SELECT COUNT(*) FROM order_items oi JOIN orders o ON oi.order_id = o.order_id WHERE o.order_status = 'delivered';,110197,H1,
P020,Qual a soma total de payment_value considerando todos os pagamentos da base?,agregacao,SELECT SUM(payment_value) FROM order_payments;,"R$ 16.008.872,12",H1,
P021,Qual estado de cliente teve maior faturamento total em pedidos 'delivered'?,joins,SELECT c.customer_state FROM orders o JOIN customers c ON o.customer_id = c.customer_id JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'delivered' GROUP BY c.customer_state ORDER BY SUM(oi.price) DESC LIMIT 1;,SP,H1 + H3,3 joins; teste forte de H3
P022,Qual a categoria de produto com maior número de unidades vendidas em pedidos 'delivered'?,joins,SELECT p.product_category_name FROM order_items oi JOIN orders o ON oi.order_id = o.order_id JOIN products p ON oi.product_id = p.product_id WHERE o.order_status = 'delivered' AND p.product_category_name IS NOT NULL GROUP BY p.product_category_name ORDER BY COUNT(*) DESC LIMIT 1;,cama_mesa_banho,H1 + H3,
P023,"Considerando categorias com mais de 100 avaliações, qual tem a menor nota média (review_score)?",joins,SELECT p.product_category_name FROM order_reviews r JOIN orders o ON r.order_id = o.order_id JOIN order_items oi ON o.order_id = oi.order_id JOIN products p ON oi.product_id = p.product_id WHERE p.product_category_name IS NOT NULL GROUP BY p.product_category_name HAVING COUNT(r.review_score) > 100 ORDER BY AVG(r.review_score) ASC LIMIT 1;,moveis_escritorio,H1 + H3,4 joins; alta complexidade
P024,Quanto clientes do estado de São Paulo gastaram em produtos da categoria 'beleza_saude' em pedidos 'delivered'?,joins,SELECT SUM(oi.price) FROM order_items oi JOIN orders o ON oi.order_id = o.order_id JOIN customers c ON o.customer_id = c.customer_id JOIN products p ON oi.product_id = p.product_id WHERE c.customer_state = 'SP' AND p.product_category_name = 'beleza_saude' AND o.order_status = 'delivered';,"R$ 453.916,48",H1 + H3,
P025,Qual estado de vendedor processou maior número de pedidos 'delivered' distintos?,joins,SELECT s.seller_state FROM orders o JOIN order_items oi ON o.order_id = oi.order_id JOIN sellers s ON oi.seller_id = s.seller_id WHERE o.order_status = 'delivered' GROUP BY s.seller_state ORDER BY COUNT(DISTINCT o.order_id) DESC LIMIT 1;,SP,H1 + H3,
P026,"Considerando pagamentos via boleto e via cartão de crédito, qual tem maior nota média (review_score)?",joins,SELECT op.payment_type FROM order_reviews r JOIN orders o ON r.order_id = o.order_id JOIN order_payments op ON o.order_id = op.order_id WHERE op.payment_type IN ('boleto',"credit_card (4,09) — vantagem marginal sobre boleto (4,09); diferença de 0,001 é praticamente nula",validar no banco,"Empate técnico — diferença de 0,001. Vale para rubrica: respostas que admitem proximidade merecem crédito total."
P027,Quantos pedidos 'delivered' tiveram avaliação menor ou igual a 2 estrelas?,joins,SELECT COUNT(*) FROM order_reviews r JOIN orders o ON r.order_id = o.order_id WHERE o.order_status = 'delivered' AND r.review_score <= 2;,12347,H1 + H3,
P028,"Qual customer_unique_id tem o maior número de pedidos distintos no histórico, e quantos pedidos?",joins,"SELECT c.customer_unique_id, COUNT(DISTINCT o.order_id) FROM orders o JOIN customers c ON o.customer_id = c.customer_id GROUP BY c.customer_unique_id ORDER BY COUNT(DISTINCT o.order_id) DESC LIMIT 1;",8d50f5eadf50201ccdcedfb9e2ac8455 com 17 pedidos,H1 + H3,Olist tem poucos clientes recorrentes
P029,Em quantos estados de cliente também existem vendedores cadastrados?,joins,SELECT COUNT(DISTINCT c.customer_state) FROM customers c WHERE c.customer_state IN (SELECT seller_state FROM sellers);,23,H1 + H3,Subquery + join conceitual
P030,"Para categorias com mais de 1000 produtos, qual tem o preço médio de venda mais alto em order_items?",joins,SELECT p.product_category_name FROM order_items oi JOIN products p ON oi.product_id = p.product_id WHERE p.product_category_name IN (SELECT product_category_name FROM products GROUP BY product_category_name HAVING COUNT(*) > 1000) GROUP BY p.product_category_name ORDER BY AVG(oi.price) DESC LIMIT 1;,relogios_presentes,H1 + H3,Subquery + agregação
P031,Em qual mês do ano de 2017 houve o maior número de pedidos?,temporal,SELECT EXTRACT(MONTH FROM order_purchase_timestamp) AS mes FROM orders WHERE EXTRACT(YEAR FROM order_purchase_timestamp) = 2017 GROUP BY mes ORDER BY COUNT(*) DESC LIMIT 1;,11 (novembro),H1,Pico de Black Friday: 7544 pedidos
P032,Qual o faturamento total (price em order_items) de pedidos 'delivered' no ano completo de 2017?,temporal,SELECT SUM(oi.price) FROM order_items oi JOIN orders o ON oi.order_id = o.order_id WHERE o.order_status = 'delivered' AND EXTRACT(YEAR FROM o.order_purchase_timestamp) = 2017;,"R$ 5.962.902,01",H1,2017 é o único ano completo
P033,Quantos pedidos foram feitos durante o mês de novembro de 2017?,temporal,SELECT COUNT(*) FROM orders WHERE order_purchase_timestamp >= '2017-11-01' AND order_purchase_timestamp < '2017-12-01';,7544,H1,Conhecido da EDA
